Date,Currency,Category,Country,Amount
2023-05-14 13:44:26+00:00,USD,General,ES,4.91
2023-05-14 13:47:25+00:00,USD,General,US,19.1
2023-05-14 13:52:53+00:00,USD,General,DE,18.63
2023-05-14 21:57:50+00:00,USD,General,US,50.0
2023-05-15 15:16:07+00:00,USD,General,CH,9.07
2023-05-15 15:18:21+00:00,USD,General,US,35.0
2023-05-15 15:47:33+00:00,USD,General,US,48.06
2023-05-15 17:00:58+00:00,USD,General,DE,196.91
2023-05-16 11:10:54+00:00,USD,General,US,9.38
2023-05-16 11:42:18+00:00,USD,General,EE,20.75
2023-05-16 21:49:20+00:00,USD,100 Drones for Ukraine,US,200.0
2023-05-17 04:41:58+00:00,USD,General,CA,295.36
2023-05-18 04:24:59+00:00,USD,100 Drones for Ukraine,US,150.0
2023-05-18 08:56:11+00:00,USD,100 Drones for Ukraine,US,100.0
2023-05-19 01:45:41+00:00,USD,General,US,48.06
2023-05-19 04:31:14+00:00,USD,General,UA,9.07
2023-05-19 05:18:37+00:00,USD,General,FR,24.61
2023-05-19 08:17:00+00:00,USD,General,DK,18.63
2023-05-19 08:58:21+00:00,USD,General,DE,19.68
2023-05-19 08:59:16+00:00,USD,General,DE,4.91
2023-05-19 09:00:08+00:00,USD,General,UA,2.38
2023-05-19 09:07:51+00:00,USD,General,GB,47.31
2023-05-19 09:28:30+00:00,USD,100 Drones for Ukraine,IT,9.84
2023-05-19 09:28:40+00:00,USD,General,DE,14.76
2023-05-19 09:35:54+00:00,USD,General,BE,98.45
2023-05-19 10:00:15+00:00,USD,General,DE,98.45
2023-05-19 10:23:19+00:00,USD,General,PL,98.45
2023-05-19 10:38:09+00:00,USD,General,US,50.0
2023-05-19 11:04:04+00:00,USD,General,GB,9.07
2023-05-19 11:47:54+00:00,USD,General,DE,9.07
2023-05-19 11:49:33+00:00,USD,General,US,96.62
2023-05-19 12:17:58+00:00,USD,General,DE,18.63
2023-05-19 12:22:36+00:00,USD,General,US,50.0
2023-05-19 13:31:18+00:00,USD,General,US,100.0
2023-05-19 13:41:56+00:00,USD,General,DE,29.53
2023-05-19 13:50:50+00:00,USD,General,US,30.0
2023-05-19 14:31:25+00:00,USD,General,DE,18.63
2023-05-19 15:00:33+00:00,USD,General,CA,98.45
2023-05-19 20:54:23+00:00,USD,General,GB,47.31
2023-05-19 22:40:43+00:00,USD,100 Drones for Ukraine,US,23.79
2023-05-19 22:53:08+00:00,USD,100 Drones for Ukraine,US,28.64
2023-05-20 00:54:26+00:00,USD,General,US,50.0
2023-05-20 02:44:35+00:00,USD,,,2300.0
2023-05-20 04:31:42+00:00,USD,General,US,50.0
2023-05-20 12:42:10+00:00,USD,General,US,96.62
2023-05-20 14:06:05+00:00,USD,General,US,300.0
2023-05-20 16:32:48+00:00,USD,100 Drones for Ukraine,US,9.22
2023-05-20 17:35:04+00:00,USD,100 Drones for Ukraine,US,100.0
2023-05-20 18:23:52+00:00,USD,100 Drones for Ukraine,US,30.0
2023-05-20 18:25:05+00:00,USD,Veteranius,US,20.0
2023-05-20 18:44:26+00:00,USD,General,DE,117.54
2023-05-20 19:27:56+00:00,USD,100 Drones for Ukraine,US,25.0
2023-05-20 20:05:51+00:00,USD,,US,97.01
2023-05-20 23:12:48+00:00,USD,General,US,40.0
2023-05-21 12:03:48+00:00,USD,General,PL,24.61
2023-05-21 15:44:44+00:00,USD,100 Drones for Ukraine,US,9.22
2023-05-21 16:29:05+00:00,USD,100 Drones for Ukraine,US,48.06
2023-05-21 16:54:59+00:00,USD,General,US,9.22
2023-05-21 17:09:20+00:00,USD,,US,97.01
2023-05-21 17:29:36+00:00,USD,,US,48.5
2023-05-21 18:02:47+00:00,USD,Veteranius,US,9.22
2023-05-21 18:03:19+00:00,USD,,US,97.01
2023-05-21 18:08:58+00:00,USD,100 Drones for Ukraine,US,18.93
2023-05-21 18:31:14+00:00,USD,100 Drones for Ukraine,US,28.64
2023-05-21 19:21:22+00:00,USD,,US,19.4
2023-05-21 20:14:58+00:00,USD,,US,38.8
2023-05-21 20:59:31+00:00,USD,General,US,50.0
2023-05-21 21:08:01+00:00,USD,General,US,10.0
2023-05-21 21:26:56+00:00,USD,100 Drones for Ukraine,US,96.62
2023-05-21 21:43:48+00:00,USD,General,US,10.0
2023-05-21 22:10:03+00:00,USD,100 Drones for Ukraine,US,20.0
2023-05-21 22:54:22+00:00,USD,100 Drones for Ukraine,US,9.22
2023-05-22 15:08:29+00:00,USD,General,US,96.62
2023-05-22 15:52:37+00:00,USD,General,DE,9.84
2023-05-23 18:13:50+00:00,USD,,,1700.0
2023-05-24 21:46:29+00:00,USD,General,CH,9.84
2023-05-24 22:31:53+00:00,USD,General,US,19.17
2023-05-24 22:57:38+00:00,USD,General,US,23.79
2023-05-25 01:20:35+00:00,USD,General,US,100.0
2023-05-25 07:39:52+00:00,USD,General,FI,95.12
2023-05-25 14:27:42+00:00,USD,General,DE,246.13
2023-05-25 17:17:34+00:00,USD,General,US,200.0
2023-05-26 09:45:55+00:00,USD,General,PL,44.290000000000006
2023-05-27 06:39:11+00:00,USD,General,EE,95.12
2023-05-27 10:19:27+00:00,USD,General,AT,29.53
2023-05-27 15:34:29+00:00,USD,General,US,96.62
2023-05-27 17:11:06+00:00,USD,Victory Drones,US,100.0
2023-05-27 18:01:25+00:00,USD,General,DE,24.61
2023-05-28 18:15:32+00:00,USD,General,UA,9.84
2023-05-29 09:54:30+00:00,USD,General,PL,18.63
2023-05-29 12:38:33+00:00,USD,,,0.97
2023-05-30 00:49:22+00:00,USD,General,US,100.0
2023-05-30 01:46:35+00:00,USD,100 Drones for Ukraine,US,100.0
2023-06-02 13:06:03+00:00,USD,General,CA,71.22
2023-06-02 15:37:29+00:00,USD,General,US,96.62
2023-06-03 18:27:46+00:00,USD,General,PL,29.53
2023-06-04 05:34:23+00:00,USD,General,US,50.0
2023-06-04 19:13:29+00:00,USD,General,FR,98.45
2023-06-05 07:05:56+00:00,USD,General,GB,190.73
2023-06-05 17:06:01+00:00,USD,100 Drones for Ukraine,US,250.0
2023-06-05 20:32:31+00:00,USD,General,FI,47.31
2023-06-06 01:47:05+00:00,USD,,,2000.0
2023-06-06 10:51:33+00:00,USD,General,DE,4.29
2023-06-06 18:19:41+00:00,USD,General,US,9.22
2023-06-06 20:29:27+00:00,USD,General,DE,47.31
2023-06-07 04:01:24+00:00,USD,General,US,96.62
2023-06-07 10:25:25+00:00,USD,General,GB,19.68
2023-06-07 15:50:44+00:00,USD,General,US,48.06
2023-06-07 20:26:51+00:00,USD,General,DE,68.35
2023-06-07 20:57:17+00:00,USD,General,UA,286.34
2023-06-08 13:55:50+00:00,USD,General,PL,19.68
2023-06-08 15:01:46+00:00,USD,General,US,23.79
2023-06-08 15:05:19+00:00,USD,General,DE,98.45
2023-06-08 18:27:03+00:00,USD,General,US,96.62
2023-06-08 20:36:17+00:00,USD,Victory Drones,DK,49.22
2023-06-09 03:37:00+00:00,USD,,,1000.0
2023-06-09 13:20:51+00:00,USD,Victory Drones,JP,98.45
2023-06-09 13:29:14+00:00,USD,General,DE,19.68
2023-06-09 16:17:46+00:00,USD,General,US,50.0
2023-06-10 04:53:30+00:00,USD,General,DE,14.76
2023-06-10 06:21:48+00:00,USD,General,DE,9.84
2023-06-10 07:04:02+00:00,USD,General,FR,18.63
2023-06-10 07:26:19+00:00,USD,General,PL,49.22
2023-06-10 08:27:47+00:00,USD,General,DE,9.07
2023-06-10 08:41:38+00:00,USD,General,UA,95.12
2023-06-10 09:21:38+00:00,USD,General,UA,18.76
2023-06-10 10:28:04+00:00,USD,General,DE,98.45
2023-06-10 10:52:27+00:00,USD,General,AU,95.12
2023-06-10 12:11:02+00:00,USD,General,UA,49.22
2023-06-10 13:37:12+00:00,USD,General,DE,29.53
2023-06-10 15:33:08+00:00,USD,General,DE,23.41
2023-06-10 17:08:48+00:00,USD,General,US,193.73
2023-06-10 17:58:40+00:00,USD,General,UA,13.85
2023-06-10 17:59:37+00:00,USD,Victory Drones,DE,95.12
2023-06-10 20:05:36+00:00,USD,General,IT,95.12
2023-06-10 20:08:09+00:00,USD,General,US,10.0
2023-06-10 20:57:28+00:00,USD,General,DE,190.73
2023-06-10 21:25:34+00:00,USD,General,US,50.0
2023-06-10 21:28:34+00:00,USD,General,US,50.0
2023-06-10 22:00:12+00:00,USD,General,US,96.62
2023-06-10 23:26:43+00:00,USD,General,UA,95.12
2023-06-10 23:38:31+00:00,USD,General,DE,9.84
2023-06-11 00:03:47+00:00,USD,General,US,18.93
2023-06-11 06:58:56+00:00,USD,General,PL,24.61
2023-06-11 07:11:14+00:00,USD,General,DE,13.85
2023-06-11 08:11:22+00:00,USD,General,AE,47.31
2023-06-11 10:50:15+00:00,USD,General,DE,24.61
2023-06-11 10:58:42+00:00,USD,General,IT,18.63
2023-06-11 13:02:54+00:00,USD,General,DE,246.13
2023-06-11 13:57:53+00:00,USD,General,CA,95.12
2023-06-11 14:06:45+00:00,USD,General,DE,9.07
2023-06-11 14:58:06+00:00,USD,General,FI,47.31
2023-06-11 17:17:51+00:00,USD,General,US,193.73
2023-06-11 18:02:07+00:00,USD,Mobile Shower Laundry Units,US,100.0
2023-06-11 18:19:46+00:00,USD,General,DE,23.41
2023-06-11 21:08:45+00:00,USD,General,US,48.06
2023-06-11 22:59:59+00:00,USD,General,US,50.0
2023-06-11 23:17:32+00:00,USD,General,MX,4.91
2023-06-12 01:19:56+00:00,USD,General,CA,49.22
2023-06-12 01:23:33+00:00,USD,General,CA,190.73
2023-06-12 01:27:25+00:00,USD,100 Drones for Ukraine,US,50.0
2023-06-12 08:35:25+00:00,USD,General,DE,104.68
2023-06-12 14:19:41+00:00,USD,100 Drones for Ukraine,US,485.06
2023-06-12 21:28:34+00:00,USD,General,DE,98.45
2023-06-12 23:47:55+00:00,USD,100 Drones for Ukraine,US,30.0
2023-06-13 06:06:04+00:00,USD,General,UA,1.96
2023-06-13 11:53:27+00:00,USD,General,US,50.0
2023-06-13 13:36:18+00:00,USD,General,UA,29.53
2023-06-13 18:58:12+00:00,USD,General,US,48.06
